WP_CD;WP_TTL
IMI-Call-2010-Safety-03;Immunosafety of vaccines
IMI-Call-2009-Efficacy-01;Oncology - Target Validation
IMI-Call-2009-Efficacy-02;Oncology - Molecular Biomarkers
IMI-Call-2009-Efficacy-03;Oncology - Imaging Biomarkers
IMI-Call-2009-Efficacy-04;Infectious Diseases - Diagnostic Tools
IMI-Call-2009-Efficacy-05;Inflammation - Aberrant Adaptive Immunity
IMI-Call-2009-Efficacy-06;Inflammation - Translational Research
IMI-Call-2010-Efficacy-04;Tuberculosis medicines research
IMI-Call-2010-Efficacy-05;Translational endpoints in autism
IMI-Call-2010-Efficacy-06;Personalized medicine approaches in diabetes
SP1-JTI-IMI-KM;Knowledge Management
IMI-Call-2009-KM-07;Drug/Disease Modelling
IMI-Call-2009-KM-08;Open Pharmacological Space
IMI-Call-2009-KM-09;Electronic Health Records
SP1-JTI-IMI-E&T;Education&Training
IMI-Call-2010-Education & Training-07;Fostering patient awareness on pharmaceutical innovation
CIP-EIP-2013.9.EACI-1;Stimulation of tailor-made promotional activities
CIP-EIP-2013-7;MERCOSUR HELPDESK
CIP-EIP-2013-6;Towards World-Class Clusters - Promoting Cluster Excellence
CIP-EIP-2013-5;Stimulation of tailor-made promotional activities
CIP-EIP-2013-4;Clusters and entrepreneurship in support of emerging industries
CIP-EIP-2013-3;Sustainable Industry Low Carbon Scheme - SILC I 2013
SP1-JTI-ENIAC-2013-2-8;Equipment, materials and manufacturing
SP1-JTI-ENIAC-2013-2-7;Semiconductor process and integration
SP1-JTI-ENIAC-2013-2-6;Design technologies
SP1-JTI-ENIAC-2013-2-5;Safety and security
SP1-JTI-ENIAC-2013-2-4;Health and the aging society
SP1-JTI-ENIAC-2013-2-3;Energy Efficiency
SP1-JTI-ENIAC-2013-2-2;Communication and digital lifestyles
SP1-JTI-ENIAC-2013-2-1;Automotive & Transport
SP1-JTI-ENIAC-2013-1-8;Equipment, materials and manufacturing
SP1-JTI-ENIAC-2013-1-7;Semiconductor process and integration
SP1-JTI-ENIAC-2013-1-6;Design technologies
SP1-JTI-ENIAC-2013-1-5;Safety and security
SP1-JTI-ENIAC-2013-1-4;Health and the aging society
SP1-JTI-ENIAC-2013-1-3;Energy Efficiency
SP1-JTI-ENIAC-2013-1-2;Communication and digital lifestyles
SP1-JTI-ENIAC-2013-1-1;Automotive & Transport
CIP-EIP-2013-2;Erasmus for Young Entrepreneurs
SP1-JTI-ARTEMIS-2013-ASP8;Human-centred design of embedded systems
SP1-JTI-ARTEMIS-2013-ASP6;Embedded Systems for Security and Critical infrastructures Protection
SP1-JTI-ARTEMIS-2013-ASP5;Computing platforms for embedded systems
SP1-JTI-ARTEMIS-2013-ASP4;Embedded Systems for manufacturing and process automation
SP1-JTI-ARTEMIS-2013-ASP3;Embedded systems in Smart environments
SP1-JTI-ARTEMIS-2013-ASP2;Embedded Systems for Healthcare and Wellbeing
SP1-JTI-ARTEMIS-2013-ASP1;Methods and processes for safety-relevant embedded systems
SP1-JTI-ARTEMIS-2013-AIPP5;Computing platforms for embedded systems
SP1-JTI-ARTEMIS-2013-AIPP3;"Seamless communication and interoperability &#8211; Smart environment: the Neural System for Society"
SP1-JTI-ARTEMIS-2013-AIPP2;Innovative Integrated Care Cycles
CIP-EIP-2013-1;Supporting public procurement of innovative solutions
JTI-CS-2013-1-ECO-01-071;Design and Modification of existing spraying facilities for automated sol gel application.
JTI-CS-2013-01-SAGE-06-006;Advanced materials for lean burn combustion system components using Laser- Additive Layer Manufacturing (L-ALM)
JTI-CS-2013-01-SAGE-06-005;Design methods for durability and operability of low emissions combustor
JTI-CS-2013-01-SAGE-06-004;Design methods for low emissions
JTI-CS-2012-3-SAGE-06-003;SAGE 6 Lean burn fuel injector coking studies
JTI-CS-2013-1-SAGE-02-033;High speed metallic material removal under acceptable surface integrity  for rotating frame
JTI-CS-2013-1-SAGE-02-032;Study and durability of electrically insulative material in aircraft engine chemical environment
JTI-CS-2013-1-SAGE-02-031;SAGE2 Engine In-flight Balancing System
JTI-CS-2013-1-SAGE-02-030;Open Rotor propellers Ice Protection System
JTI-CS-2013-1-GRC-02-017;Contribution to the aerodynamic design of a helicopter air intake through wind tunnel testing
JTI-CS-2013-1-GRC-02-016;Assessment of optimized tiltrotor engine intake performance by wind tunnel tests
JTI-CS-2013-1-ECO-01-065;Manufacturing optimisation of a plenum with GFRP cyanate ester-based prepreg
JTI-CS-2013-1-ECO-01-070;Application of sol gel technologies on low weight green metallic fuselage section
JTI-CS-2013-1-ECO-01-069;"Characterization of metallurgical joining technologies for Mg &#8211; Al and Mg &#8211; Al-Li joints for the demonstrator B2 assembly"
JTI-CS-2013-1-ECO-01-068;Manufacturing and optimisation of a PEEK scroll for a Motorized Turbo Compressor (MTC) in an E-ECS
JTI-CS-2013-1-ECO-01-067;Manufacturing of high temperature composite parts for air cooling unit (e.g. cyanate ester / carbon fibers) by filament winding
JTI-CS-2013-1-ECO-01-066;Manufacturing by DMLS and machining of a titanium fan wheel. Comparison with casting process
JTI-CS-2013-1-SGO-04-008;Electrical equipment modelling for test rig virtual integration
JTI-CS-2013-1-SGO-04-007;Design and manufacturing of a 10kW AC-DC converter unit
JTI-CS-2013-1-SGO-04-006;Thermal Mock-ups for Thermal Management of a Ground Integration Test Rig
JTI-CS-2013-1-SGO-03-023;Simulation of Pilot Behaviour and Clearance Negatiation in Trajectory Changes Management
JTI-CS-2013-1-SGO-03-022;Validation of avionic polarimetric radar X-band meteorological models and algorithms through experimental tests
JTI-CS-2013-1-SGO-03-021;Flight Operations for novel Continuous Descents
JTI-CS-2013-1-SGO-02-072;Li-Ion battery for optimized DC network power conversion
JTI-CS-2013-1-SGO-02-071;Bi-phase cooling system suitable for power electronics dedicated to more electrical aircraft
JTI-CS-2013-1-SGO-02-070;New magnetic materials for machines
JTI-CS-2013-1-SGO-02-069;High power SiC diodes for Starter-Generator rotating rectifier bridge applications
JTI-CS-2013-1-SGO-02-068;Harness integrated sensors network for wiring health monitoring
JTI-CS-2013-1-SGO-02-067;Optimized insulation for adapted characteristics
JTI-CS-2013-1-SGO-02-066;HVDC fuses design, development, validation and integration
JTI-CS-2013-1-SGO-02-065;Modelica library of detailed magnetic effects in rotating machinery
JTI-CS-2013-1-SGO-02-064;Cooperative System Design Simulation Environment for Energy System Applications
JTI-CS-2013-1-SGO-02-061;Technology development and fabrication of integrated solid-state power switches 
JTI-CS-2013-1-SGO-02-058;Optimized power cable for skin effects
JTI-CS-2013-1-SGO-02-057;PWM High Voltage connectors
JTI-CS-2013-1-SGO-02-056;Integrated design tool to support EWIS optimisation 
JTI-CS-2013-1-SGO-02-054;Design and manufacturing of Flight test version of Electro-mechanical Wing Ice Protection assembly (Modified A320 slat 5)
JTI-CS-2013-1-SGO-02-051;Ram-air fan optimization for electrical ECS application
JTI-CS-2013-1-GRA-02-023;Development of methodology for structural&mechanical analysis on kinematics and actuators integration for loads control&alleviation devices
JTI-CS-2013-1-GRA-02-022;Experimental investigation of advanced load control/alleviation technology in a regional a/c
JTI-CS-2013-1-GRA-02-021;Optimization and highly-accurate/reliable demonstration of low-noise innovative Main Landing Gear
JTI-CS-2013-1-GRA-02-020;Aerodynamic experimental development and investigation on innovative Low-Noise A/C 90-pax configuration
JTI-CS-2013-1-GRA-01-052;Development of a primary aerospace structural component through optimization and virtual testing
JTI-CS-2013-1-GRC-05-008;Innovative measurement and monitoring system for accurate on-board acoustic predictions during rotorcraft approaches and departures
JTI-CS-2013-1-GRC-01-014;Development and Testing of Computational Methods to Simulate Helicopter Rotors with Active Gurney Flap
JTI-CS-2013-1-SAGE-06-006;Advanced materials for lean burn combustion system components using Laser- Additive Layer Manufacturing (L-ALM)
JTI-CS-2013-1-SAGE-06-005;Design methods for durability and operability of low emissions combustor
JTI-CS-2013-1-SAGE-06-004;Design methods for low emissions
JTI-CS-2013-1-SAGE-06-003;SAGE 6 Lean burn fuel injector coking studies
JTI-CS-2013-1-SAGE-04-024;Development of a Power Gearbox Rig
JTI-CS-2013-1-SAGE-04-023;Development of a high flexible, low cost single crystal casting production process
JTI-CS-2013-1-SAGE-04-022;Development of an advanced long life Ceramic Matrix Composite (CMC) turbine component
JTI-CS-2013-1-SAGE-04-021;Development of an advanced forging process for optimised turbine casing material
JTI-CS-2013-1-SAGE-04-020;Development of a robust forging process for a new advanced aero-engine rotor material
JTI-CS-2013-1-SAGE-03-025;Variable fluid metering unit for Aero engine applications
JTI-CS-2013-1-SAGE-03-024;Electric Pump for Safety Critical Aero engine applications
JTI-CS-2013-1-SAGE-03-023;Microstructure Based Material Mechanical Models for Superalloys
JTI-CS-2013-1-SAGE-03-022;Shared lubrication starting system
JTI-CS-2013-1-SAGE-03-021;TCC Manifold Architecture Parametric Model development
JTI-CS-2013-1-SFWA-02-038;Design and manufacturing of a representative new generation business jet model for high and low speed tests
JTI-CS-2013-1-SFWA-02-041;Blade trajectory testing
JTI-CS-2013-1-SFWA-02-034;Design, Manufacture and Wind Tunnel of a large laminar half model
SP1-JTI-IMI-2013-AD;"Approaches to develop a new classification for neurodegenerative disorders with a focus on Alzheimer&#8217;s disease (AD) and Parkinson&#8217;s disease (PD)"
SP1-JTI-IMI-2013-SLE;Approaches to develop a new classification for Systemic Lupus Erythematosus (SLE) and related connective tissue disorders and Rheumatoid Arthritis (RA)
SP1-JTI-IMI-taxonomy;Developing an aetiology-based taxonomy for human diseases
SP1-JTI-IMI-2013-Gram;"Discovery and development of new drugs combating Gram &#8211; negative infections"
SP1-JTI-IMI-2013-Trial;Innovative Trial Design & Clinical Development
SP1-JTI-IMI-Resistance;Combating Antibiotic Resistance: New Drugs for Bad Bugs (ND4BB)
CIP-ICT-PSP.2013.1.2b;"Smart, sustainable mobility &#8211; Piloting cooperative systems for sustainable mobility of goods"
CIP-ICT-PSP.2013.5.3;Support to the Grand Coalition for ICT jobs
CIP-ICT-PSP.2013.5.2;Support to advance Corporate Social Responsibility (CSR) in the ICT sector
CIP-ICT-PSP.2013.5.1;Open objective for innovation
CIP-ICT-PSP.2013.5;Open objective for innovation and other actions
CIP-ICT-PSP.2013.4.3;Secure and trustworthy reporting of malware and suspected cybercrime
CIP-ICT-PSP.2013.4.2;Security for networked infrastructure 
CIP-ICT-PSP.2013.4.1;Protection of websites against attacks
CIP-ICT-PSP.2013.4;Trusted eServices
CIP-ICT-PSP.2013.3.5;Biophotonics solutions for diagnosis, monitoring and treatment of disease
CIP-ICT-PSP.2013.3.4;Assisted mobility/navigation for older or impaired users
